	Authors	Title	Publication	Volume	Number	Pages	Year	Publisher
24	Klein, Christoph; Miczuga, Teresa; Kost, Marie Sophie; Röring, Hannah; Jarczok, Tomasz A; Bast, Nico; Thiemann, Ulf; Fleischhaker, Christian; Tebartz Van Elst, Ludger; Riedel, Andreas; 	An Alternative Short-version of the" Sensory Perception Quotient"(SPQ) by Tavassoli and Colleagues	Frontiers in Psychiatry	NA	NA	980	NA	Frontiers
25	Klein, Christoph; Miczuga, Teresa; Kost, Marie Sophie; Röring, Hannah; Jarczok, Tomasz A; Bast, Nico; Thiemann, Ulf; Fleischhaker, Christian; Van Elst, Ludger Tebartz; Riedel, Andreas; 	An German Short-Version of the “Sensory Perception Quotient” for Adults With Autism Spectrum Disorder	Frontiers in Psychiatry	13	NA		2022	Frontiers Media SA
26	Ambrosino, Sara; Elbendary, Hasnaa; Lequin, Maarten; Rijkelijkhuizen, Dominique; Banaschewski, Tobias; Baron-Cohen, Simon; Bast, Nico; Baumeister, Sarah; Buitelaar, Jan; Charman, Tony; 	In-depth characterization of neuroradiological findings in a large sample of individuals with autism spectrum disorder and controls	NeuroImage: Clinical	35	NA	103118	2022	Elsevier
27	Haartsen, Rianne; Mason, Luke; Garces, Pilar; Gui, Anna; Charman, Tony; Tillmann, Julian; Johnson, Mark H; Buitelaar, Jan K; Loth, Eva; Murphy, Declan; 	Qualitative differences in the spatiotemporal brain states supporting configural face processing emerge in adolescence in autism	cortex	155	NA	13-29	2022	Elsevier
28	Bast, Nico; Gaigg, Sebastian B; Bowler, Dermot M; Roessner, Veit; Freitag, Christine M; Ring, Melanie; 	Arousal‐modulated memory encoding and retrieval in adults with autism spectrum disorder	Autism Research	NA	NA		2022	John Wiley & Sons, Inc. Hoboken, USA
29	Klein, Christoph; Miczuga, Teresa; Röring, Hannah; Kost, Marie; Bast, Nico; Thiemann, U; Jarczok, TomaszA; Fleischhaker, C; van Elst, Ludger Tebartz; Riedel, Andreas; 	Sensorische Auffälligkeiten bei Autismus-Spektrum-Störung: Validierung und Adaptation des englischsprachigen „Sensory Perception Quotient “(SPQ) von Tavassoli und Kollegen	Fortschritte der Neurologie· Psychiatrie	NA	NA		2022	Georg Thieme Verlag
30	Polzer, Leonie; Freitag, Christine M; Bast, Nico; 	Pupillometric measures of altered stimulus‐evoked locus coeruleus‐norepinephrine activity explain attenuated social attention in preschoolers with autism spectrum disorder	Autism Research	15	11	2167-2180	2022	John Wiley & Sons, Inc. Hoboken, USA
31	Laidi, Charles; Floris, Dorothea L; Tillmann, Julian; Elandaloussi, Yannis; Zabihi, Mariam; Charman, Tony; Wolfers, Thomas; Durston, Sarah; Moessnang, Carolin; Dell’Acqua, Flavio; 	Cerebellar atypicalities in autism?	Biological Psychiatry	92	8	674-682	2022	Elsevier
32	Klein, Christoph; Miczuga, Teresa; Roring, Hannah; Kost, Marie; Bast, Nico; Thiemann, U; Jarczok, TomaszA; Fleischhaker, C; van Elst, Ludger Tebartz; Riedel, Andreas; 	Sensory Abnormalities in Autism Spectrum Disorder: Validation and Adaptation of the English-language Sensory Perception Quotient (SPQ) by Tavassoli and Colleagues	Forschritte Neurol. Psychiatr.	NA	NA		2022	GEORG THIEME VERLAG KG
33	Mason, L; Shic, F; Falck-Ytter, Terje; Chakrabarti, B; Charman, T; Loth, E; Tillmann, J; Banaschewski, T; Baron-Cohen, Simon; Bölte, S; 	Preference for biological motion is reduced in ASD: implications for clinical trials and the search for biomarkers	Molecular autism	12	1	1-13	2021	BioMed Central
34	Bast, Nico; 	Eye Tracking as a Diagnostic Tool in Autism Spectrum Disorder		NA	NA		2017	Ruprecht-Karls-Universität zu Heidelberg
35	Mei, Ting; Forde, Natalie J; Floris, Dorothea L; Dell’Acqua, Flavio; Stones, Richard; Ilioska, Iva; Durston, Sarah; Moessnang, Carolin; Banaschewski, Tobias; Holt, Rosemary J; 	Autism Is Associated With Interindividual Variations of Gray and White Matter Morphology	Biological Psychiatry: Cognitive Neuroscience and Neuroimaging	NA	NA		2022	Elsevier
36	Baumeister, Sarah; Moessnang, Carolin; Bast, Nico; Hohmann, Sarah; Aggensteiner, Pascal; Kaiser, Anna; Tillmann, Julian; Goyard, David; Charman, Tony; Ambrosino, Sara; 	Processing of social and monetary rewards in autism spectrum disorders	The British Journal of Psychiatry	222	3	100-111	2023	Cambridge University Press
37	Bast, Nico; Mason, Luke; Ecker, Christine; Baumeister, Sarah; Banaschewski, Tobias; Jones, Emily JH; Murphy, Declan GM; Buitelaar, Jan K; Loth, Eva; Pandina, Gahan; 	Sensory salience processing moderates attenuated gazes on faces in autism spectrum disorder: a case–control study	Molecular Autism	14	1	1-16	2023	BioMed Central
38	Bast, Nico; Banaschewski, Tobias; Dziobek, Isabel; Poustka, Luise; 	Naturalistic Assessment of Empathy and Social Cognition in Adolescents with Autism Spectrum Disorder		NA	NA		2017	
39	Hagemann, Dirk; Ihmels, Max; Bast, Nico; Neubauer, Andreas B; Schankin, Andrea; Schubert, Anna-Lena; 	Fluid Intelligence Is (Much) More than Working Memory Capacity: An Experimental Analysis	Journal of Intelligence	11	4	70	2023	MDPI
40	Bast, Nico; Polzer, Leonie; Raji, Naisan; Kleber, Solvejg Kassandra; Lemler, Christian; Kitzerow-Cleven, Janina; Kim, Ziyon; Freitag, Christine M; 	Naturalistic Developmental Behavioral Intervention (NDBI) Might Improve Joint Attention and Associated Neurophysiological Reactivity in Preschoolers with Autism Spectrum Condition	INSAR 2023	NA	NA		2023	INSAR
